pergunta,opcao_a,opcao_b,opcao_c,opcao_d,resposta_correta,ano,orgao
"Conforme a Lei de Responsabilidade Fiscal (LC 101/2000), o instrumento que estabelece metas fiscais para os três exercícios seguintes é:","Plano Plurianual","Lei de Diretrizes Orçamentárias","Lei Orçamentária Anual","Programa de Gestão Fiscal","b","2023","Câmara Municipal"
"O princípio da administração pública que veda privilégios de qualquer natureza é o da:","Legalidade","Impessoalidade","Eficiência","Moralidade","b","2022","Tribunal de Contas"
"No controle externo da administração pública, o órgão responsável pela fiscalização contábil, financeira e orçamentária é:","Ministério Público","Tribunal de Contas","Controladoria-Geral da União","Poder Judiciário","b","2023","Assembleia Legislativa"
"A Lei de Improbidade Administrativa (8.429/1992) previse sanções para atos que:","Causem prejuízo ao erário","Beneficiem parentes até 2º grau","Contrariem princípios constitucionais","Todas as alternativas estão corretas","d","2022","Câmara Federal"
"Conforme o art. 37 da CF, a publicidade dos atos administrativos é:","Faculdade do administrador","Princípio constitucional","Requisito de eficácia","Obrigação acessória","b","2023","Prefeitura"
"O estágio da despesa pública que verifica o direito do credor é:","Empenho","Liquidação","Pagamento","Programação","b","2022","Governo Estadual"
"Na contabilidade pública, a variação patrimonial que aumenta o ativo sem afetar o passivo é classificada como:","Receita orçamentária","Superávit financeiro","Resultado positivo","Mutação patrimonial ativa","d","2023","Tribunal de Contas"
"O controle administrativo exercido sobre atos de subordinados denomina-se:","Hierárquico","Finalístico","Regimental","Correicional","a","2022","Câmara Municipal"
"Conforme a LC 101/2000, o relatório de gestão fiscal deve ser publicado:","Trimestralmente","Semestralmente","Anualmente","Bienalmente","a","2023","Controladoria-Geral"
"O princípio orçamentário que veda a vinculação de receitas é o da:","Anualidade","Universalidade","Não afetação","Unidade","c","2022","Secretaria de Fazenda"
"Na auditoria governamental, o risco que decorre de falhas nos controles internos é classificado como:","Risco inerente","Risco de detecção","Risco de controle","Risco residual","c","2023","Tribunal de Contas"
"A modalidade de licitação para valores acima de R$ 176.400,00 (obras e serviços) é:","Pregão","Concorrência","Convite","Tomada de preços","b","2022","Prefeitura"
"O ato administrativo que extingue um ato ilegal é a:","Revogação","Convalidação","Anulação","Ratificação","c","2023","Câmara Legislativa"
"Conforme a Lei 12.527/2011 (LAI), o prazo máximo para resposta a pedido de informação é:","10 dias","15 dias","20 dias","30 dias","c","2022","Controladoria"
"Na contabilidade pública, as dívidas não pagas no exercício são registradas como:","Restos a pagar","Dívida flutuante","Dívida fundada","Reserva de contingência","a","2023","Secretaria de Finanças"
"O controle interno conforme a Constituição Federal é exercido:","Exclusivamente pelo Poder Legislativo","Por cada Poder sobre seus próprios atos","Pela Controladoria-Geral da União","Pelo Tribunal de Contas","b","2022","Assembleia Legislativa"
"A finalidade principal do controle externo é verificar:","Legalidade dos atos","Economicidade das ações","Legitimidade dos procedimentos","Todas as alternativas","d","2023","Tribunal de Contas"
"Conforme a LRF, a despesa com pessoal não pode exceder:","50% da receita corrente líquida","60% da receita corrente líquida","70% da receita corrente líquida","80% da receita corrente líquida","a","2022","Câmara Municipal"
"O princípio da continuidade do serviço público refere-se ao conceito de:","Eficiência","Regularidade","Permanência","Indisponibilidade","c","2023","Prefeitura"
"Na análise de balanços públicos, o indicador que mede a capacidade de pagamento é:","Liquidez corrente","Endividamento","Solvência","Rentabilidade","a","2022","Governo Estadual"
